Description,TPR Baseline,Fault №,TPR New,Diff
Normal Feed,0.338997706541182,1,0.338997706541182,0.0
"A/C feed ratio, B composition constant (stream 4)",0.000185425551641,2,0.000185425551641,0.0
"B composition, A/C ration constant (stream 4)",0.9646727029835238,3,0.9646727029835238,0.0
D feed temperature (stream 2),0.9145327816914532,4,0.9145327816914532,0.0
Reactor cooling water inlet temperature,0.3631944186736928,5,0.3631944186736928,0.0
Condenser cooling water inlet temperature,0.0041394741749021,6,0.0041394741749021,0.0
A feed loss (stream 1),0.9192763982020484,7,0.9192763982020484,0.0
C header pressure loss - reduced availability,0.7743631516587678,8,0.7743631516587678,0.0
"A, B, C feed composition (stream 4)",0.0080764671013633,9,0.0080764671013633,0.0
D feed temperature (stream 2),0.681926126191955,10,0.681926126191955,0.0
C feed temperature (stream 4),0.940375291461564,11,0.940375291461564,0.0
Reactor cooling water inlet temperature,0.9800681683461766,12,0.9800681683461766,0.0
Condenser cooling water inlet temperature,0.8248385049101975,13,0.8248385049101975,0.0
Reaction kinetics,0.9938372438372438,14,0.9938372438372438,0.0
Reactor cooling water valve,0.9805955168952828,15,0.9805955168952828,0.0
Condencer cooling water valve,0.0079051383399209,16,0.0079051383399209,0.0
Unknown,0.0286442933175635,17,0.0286442933175635,0.0
Unknown,0.5900376078460291,18,0.5900376078460291,0.0
Unknown,0.0598989298454221,19,0.0598989298454221,0.0
Unknown,0.5318807596164609,20,0.5318807596164609,0.0
Unknown,0.8175890883201559,21,0.8175890883201559,0.0
A feed (stream 1) temperature,0.0021428307533158,22,0.0021428307533158,0.0
E feed (stream 3) temperature,0.5170791345583877,23,0.5170791345583877,0.0
A feed flow (stream 1),0.0007824726134585,24,0.0007824726134585,0.0
D feed flow (stream 2),0.9321198190850448,25,0.9321198190850448,0.0
E feed flow (stream 3),0.7033794561709389,26,0.7033794561709389,0.0
A and C feed flow (stream 4),0.7874569619784533,27,0.7874569619784533,0.0
Reactor cooling water flow,0.2398247177658942,28,0.2398247177658942,0.0
Condenser cooling water flow,0.4633143111242866,29,0.4633143111242866,0.0
