Description,Baseline TPR,Fault №,New TPR,Diff,Most important nodes
Normal Feed,0.666061028000883,0,0.666061028000883,0.0,"[21, 18, 20]"
Fault #0,0.9087827426810478,1,0.9087827426810478,0.0,"[18, 43, 20]"
Fault #1,0.9320637732506644,2,0.9320637732506644,0.0,"[1, 9, 10]"
Fault #2,0.931245293049218,3,0.931245293049218,0.0,"[21, 18, 20]"
Fault #3,0.9403542701419718,4,0.9403542701419718,0.0,"[18, 50, 20]"
Fault #4,0.9083547216567838,5,0.9083547216567838,0.0,"[51, 20, 18]"
Fault #5,0.9190973892508856,6,0.9190973892508856,0.0,"[12, 10, 1]"
Fault #6,0.909027383500022,7,0.909027383500022,0.0,"[44, 18, 20]"
Fault #7,0.9505929718611876,8,0.9505929718611876,0.0,"[30, 10, 20]"
Fault #8,0.8960483373026373,9,0.8960483373026373,0.0,"[18, 21, 20]"
Fault #9,0.9397076465099746,10,0.9397076465099746,0.0,"[18, 17, 20]"
Fault #10,0.9630679302099016,11,0.9630679302099016,0.0,"[8, 18, 20]"
Fault #11,0.957668224711174,12,0.957668224711174,0.0,"[20, 10, 21]"
Fault #12,0.9299312181051698,13,0.9299312181051698,0.0,"[10, 6, 20]"
Fault #13,0.9867186116522048,14,0.9867186116522048,0.0,"[21, 8, 20]"
Fault #14,0.8453395414214179,15,0.8453395414214179,0.0,"[21, 17, 20]"
Fault #15,0.9590498138627904,16,0.9590498138627904,0.0,"[18, 17, 20]"
Fault #16,0.9555183651898176,17,0.9555183651898176,0.0,"[8, 1, 20]"
Fault #17,0.9335047433283092,18,0.9335047433283092,0.0,"[29, 30, 21]"
Fault #18,0.9466754733597534,19,0.9466754733597534,0.0,"[18, 17, 20]"
Fault #19,0.9456393700100344,20,0.9456393700100344,0.0,"[29, 10, 20]"
